Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Pedro Severino\severpe01,27,113,419,379,32,94,18,0,11,46,0,0,34,109,.248,.308,.383,.690,87,145,9,1,0,5,1
2,1B,Ryan Mountcastle\mountry01,24,144,586,534,77,136,23,1,33,89,4,3,41,161,.255,.309,.487,.796,112,260,12,4,0,7,2
3,2B,Pat Valaika\valaipa01,28,90,281,259,17,52,8,0,5,25,1,1,16,76,.201,.250,.290,.540,47,75,4,2,1,3,0
4,SS,Freddy Galvis#\galvifr01,31,72,274,249,36,62,12,1,9,26,1,0,18,58,.249,.306,.414,.720,94,103,5,3,2,1,1
5,3B,Maikel Franco\francma02,28,104,403,377,31,79,22,0,11,47,0,0,20,67,.210,.253,.355,.609,63,134,12,3,0,3,0
6,LF,Austin Hays\haysau01,25,131,529,488,73,125,26,4,22,71,4,3,28,107,.256,.308,.461,.769,106,225,9,9,3,1,0
7,CF,Cedric Mullins*\mullice01,26,159,675,602,91,175,37,5,30,59,30,8,59,125,.291,.360,.518,.878,135,312,2,8,1,4,3
8,RF,Anthony Santander#\santaan02,26,110,438,406,54,98,24,0,18,50,1,1,23,101,.241,.286,.433,.720,92,176,11,4,1,4,0
9,DH,Trey Mancini\mancitr01,29,147,616,556,77,142,33,1,21,71,0,0,51,143,.255,.326,.432,.758,104,240,19,8,0,1,4
10,OF,DJ Stewart*\stewadj01,27,100,318,270,39,55,10,0,12,33,0,0,44,89,.204,.324,.374,.698,90,101,3,4,0,0,1
11,MI,Ramon Urias\uriasra01,27,85,296,262,33,73,14,0,7,38,1,2,28,76,.279,.361,.412,.774,111,108,3,6,0,0,0
12,LF,Ryan McKenna\mckenry01,24,90,197,169,20,31,6,1,2,14,1,0,24,74,.183,.292,.266,.559,54,45,1,2,2,0,0
13,3B,Kelvin Gutierrez\gutieke01,26,47,153,137,14,34,4,1,2,12,0,0,13,45,.248,.327,.336,.663,82,46,1,3,0,0,0
14,C,Austin Wynns\wynnsau01,30,45,139,130,14,24,4,0,4,14,1,0,8,31,.185,.232,.308,.540,45,40,6,0,1,0,0
15,MI,Jorge Mateo\mateojo01,26,32,116,107,9,30,7,1,2,8,5,3,7,28,.280,.328,.421,.748,102,45,0,1,0,1,0
16,SS,Richie Martin\martiri01,26,37,105,98,9,23,2,0,1,8,0,2,4,28,.235,.269,.286,.555,52,28,1,1,1,1,0
17,2B,Rio Ruiz*\ruizri01,27,32,101,90,10,15,3,0,3,6,2,0,9,29,.167,.250,.300,.550,49,27,3,1,1,0,0
18,2B,Stevie Wilkerson#\wilkest01,29,30,76,72,5,12,3,0,0,2,2,0,3,30,.167,.211,.208,.419,15,15,0,1,0,0,0
19,C,Chance Sisco*\siscoch01,26,23,73,65,4,10,2,0,0,3,0,0,6,18,.154,.247,.185,.431,21,12,0,2,0,0,0
20,IF,Domingo Leyba#\leybado01,25,21,72,65,6,10,1,0,1,4,0,0,6,16,.154,.236,.215,.451,25,14,3,1,0,0,0
21,2B,Jahmai Jones\jonesja08,23,26,72,67,5,10,3,0,0,3,1,0,4,26,.149,.208,.194,.402,11,13,1,1,0,0,0
22,UT,Tyler Nevin\nevinty01,24,6,18,14,3,4,2,0,1,3,0,0,4,5,.286,.444,.643,1.087,191,9,0,0,0,0,0
23,C,Nick Ciuffo*\ciuffni01,26,2,6,5,0,1,1,0,0,0,0,0,1,1,.200,.333,.400,.733,99,2,0,0,0,0,0
24,P,Matt Harvey\harvema01,32,3,6,5,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,1,0,0
25,P,John Means*\meansjo01,28,2,5,5,0,1,1,0,0,0,0,0,0,2,.200,.200,.400,.600,57,2,0,0,0,0,0
26,P,Bruce Zimmermann*\zimmebr02,26,2,4,4,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0
27,P,Keegan Akin*\akinke01,26,2,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0
28,P,Jorge Lopez\lopezjo02,28,1,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
29,P,Thomas Eshelman\eshelto01,27,2,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0
30,P,Konner Wade*\wadeko01,29,0,0,,,,,,,,,,,,,,,,,,,,,,
31,P,Manny Barreda\barrema03,32,0,0,,,,,,,,,,,,,,,,,,,,,,
32,P,Jay Flaa\flaaja01,29,0,0,,,,,,,,,,,,,,,,,,,,,,
33,P,Eric Hanhold\hanhoer01,27,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
34,P,Wade LeBlanc*\leblawa01,36,0,0,,,,,,,,,,,,,,,,,,,,,,
35,P,Tanner Scott\scottta01,26,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
36,P,Zack Burdi\burdiza01,26,0,0,,,,,,,,,,,,,,,,,,,,,,
37,P,Mac Sceroler\sceroma01,26,0,0,,,,,,,,,,,,,,,,,,,,,,
38,P,Isaac Mattson\mattsis01,25,0,0,,,,,,,,,,,,,,,,,,,,,,
39,P,Fernando Abad*\abadfe01,35,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
40,P,Alexander Wells*\wellsal01,24,0,0,,,,,,,,,,,,,,,,,,,,,,
41,P,Cesar Valdez\valdece01,36,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
42,P,Dean Kremer\kremede01,25,0,0,,,,,,,,,,,,,,,,,,,,,,
43,P,Travis Lakins\lakintr01,27,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
44,P,Dillon Tate\tatedi01,27,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
45,P,Paul Fry*\frypa01,28,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
46,P,Zac Lowther*\lowthza01,25,0,0,,,,,,,,,,,,,,,,,,,,,,
47,P,Brooks Kriske\kriskbr01,27,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
48,P,Spenser Watkins\watkisp01,28,0,0,,,,,,,,,,,,,,,,,,,,,,
49,P,Hunter Harvey\harvehu01,26,0,0,,,,,,,,,,,,,,,,,,,,,,
50,P,Conner Greene\greenco01,26,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
51,P,Dusten Knight\knighdu01,30,0,0,,,,,,,,,,,,,,,,,,,,,,
52,P,Tyler Wells\wellsty01,26,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
53,P,Shawn Armstrong\armstsh01,30,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
54,P,Mickey Jannis\jannimi01,33,0,0,,,,,,,,,,,,,,,,,,,,,,
55,P,Mike Baumann\baumami01,25,0,0,,,,,,,,,,,,,,,,,,,,,,
56,P,Marcos Diplan\diplama01,24,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
57,P,Brandon Waddell*\waddebr01,27,0,0,,,,,,,,,,,,,,,,,,,,,,
58,P,Joey Krehbiel\krehbjo01,28,0,0,,,,,,,,,,,,,,,,,,,,,,
59,P,Adam Plutko\plutkad01,29,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
60,P,Cole Sulser\sulseco01,31,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
61,P,Chris Ellis*\ellisch01,28,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
62,P,Shaun Anderson\andersh01,26,0,0,,,,,,,,,,,,,,,,,,,,,,
